day_of_the_week,day_of_the_month,is_working_day,leave,arrive,leave_minutes,arrive_minutes,out_minutes
Monday,23,1,08:20,17:44,500,1064,564
Tuesday,24,1,08:16,17:43,496,1063,567
Wednesday,25,1,08:26,17:48,506,1068,562
Thursday,26,1,08:19,17:43,499,1063,564
Friday,27,1,08:19,17:23,499,1043,544
Saturday,28,0,14:17,14:36,857,876,19
Sunday,29,0,16:20,16:50,980,1010,30
Monday,30,1,08:20,17:38,500,1058,558
Tuesday,31,1,08:23,17:43,503,1063,560
Wednesday,1,1,08:21,17:57,501,1077,576
Thursday,2,1,08:22,17:49,502,1069,567
Friday,3,1,08:14,17:06,494,1026,532
Saturday,4,0,16:58,18:00,1018,1080,62
Sunday,5,0,16:16,17:59,976,1079,103
Monday,6,1,08:16,17:34,496,1054,558
Tuesday,7,1,08:18,17:40,498,1060,562
Wednesday,8,1,08:15,17:34,495,1054,559
Thursday,9,1,08:14,19:51,494,1191,697
Friday,10,1,08:17,17:17,497,1037,540
Saturday,11,0,13:03,14:47,783,887,104
Sunday,12,0,11:02,12:45,662,765,103
Monday,13,1,08:13,17:39,493,1059,566
Tuesday,14,1,08:17,17:39,497,1059,562
Wednesday,15,1,08:19,17:38,499,1058,559
Thursday,16,1,08:15,17:42,495,1062,567
Friday,17,1,08:19,17:13,499,1033,534
Saturday,18,0,15:11,16:20,911,980,69
Sunday,19,0,12:52,14:38,772,878,106
Monday,20,1,08:18,17:44,498,1064,566
Tuesday,21,1,08:17,17:46,497,1066,569
Wednesday,22,1,08:21,17:11,501,1031,530
Thursday,23,0,18:23,20:07,1103,1207,104
Friday,24,1,08:19,17:21,509,1041,532
Saturday,25,0,13:16,15:01,796,901,105
Sunday,26,0,11:51,13:35,711,815,104
Monday,27,0,14:02,14:41,842,881,39
Tuesday,28,1,08:19,17:48,499,1068,569
Wednesday,29,1,08:24,17:37,504,1057,553
Thursday,30,1,08:17,18:42,497,1122,625
Friday,31,1,08:18,17:19,498,1039,541
Sunday,2,0,12:21,14:04,741,844,103
Monday,3,1,08:21,17:40,501,1060,559
